shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
AK-20,-6.5600,106.7874,11,0.11,iskandar-20-rejions
AK-20,-6.5582,106.7883,11,0.11,cimanggu-wates-1
AK-20,-6.5536,106.7881,11,0.11,cimanggu-wates-setapak
AK-20,-6.5487,106.7876,11,0.11,setapak-1
AK-20,-6.5467,106.7863,11,0.11,setapak-2
AK-20,-6.5468,106.7857,11,0.11,setapak-3
AK-20,-6.5430,106.7840,11,0.11,setapak-bukitcimanggu
AK-20,-6.5418,106.7835,11,0.11,setapak-4
AK-20,-6.5413,106.7827,11,0.11,setapak-5
AK-20,-6.5378,106.7825,11,0.11,setapak-6
AK-20,-6.5357,106.7828,11,0.11,setapak-7
AK-20,-6.5343,106.7826,11,0.11,kencana-4-setapak
AK-20,-6.5344,106.7892,11,0.11,kencana-5-left
AK-20,-6.5335,106.7902,11,0.11,kencana-6-right
AK-20,-6.5338,106.7959,11,0.11,kencana-corner-kalimurni
AK-20,-6.5315,106.7961,11,0.11,kalimurni-1-right
AK-20,-6.5314,106.7964,11,0.11,kalimurni-2-left
AK-20,-6.5309,106.7965,11,0.11,kalimurni-pendidikan
AK-20,-6.5307,106.8003,11,0.11,*Taman Griya Kencana
AK-20,-6.5309,106.7965,11,0.11,kalimurni-pendidikan
AK-20,-6.5314,106.7964,11,0.11,kalimurni-2-left
AK-20,-6.5315,106.7961,11,0.11,kalimurni-1-right
AK-20,-6.5338,106.7959,11,0.11,kencana-corner-kalimurni
AK-20,-6.5335,106.7902,11,0.11,kencana-6-right
AK-20,-6.5344,106.7892,11,0.11,kencana-5-left
AK-20,-6.5343,106.7826,11,0.11,kencana-4-setapak
AK-20,-6.5357,106.7828,11,0.11,setapak-7
AK-20,-6.5378,106.7825,11,0.11,setapak-6
AK-20,-6.5413,106.7827,11,0.11,setapak-5
AK-20,-6.5418,106.7835,11,0.11,setapak-4
AK-20,-6.5430,106.7840,11,0.11,setapak-bukitcimanggu
AK-20,-6.5468,106.7857,11,0.11,setapak-3
AK-20,-6.5467,106.7863,11,0.11,setapak-2
AK-20,-6.5487,106.7876,11,0.11,setapak-1
AK-20,-6.5536,106.7881,11,0.11,cimanggu-wates-setapak
AK-20,-6.5582,106.7883,11,0.11,cimanggu-wates-1
AK-20,-6.5600,106.7874,11,0.11,iskandar-20-rejions
AK-20,-6.5628,106.7971,11,0.11,iskandar-majujaya
AK-20,-6.5618,106.8019,11,0.11,pedes-iskandar
AK-20,-6.5615,106.8026,11,0.11,iskandar-underloop
AK-20,-6.5618,106.8019,11,0.11,pedes-iskandar
AK-20,-6.5652,106.8019,11,0.11,pedes-sungai
AK-20,-6.5692,106.7990,11,0.11,pedes-bendrightatstart
AK-20,-6.5698,106.7989,11,0.11,pemuda-pedes
AK-20,-6.5733,106.7964,11,0.11,pemuda-hewan
AK-20,-6.5817,106.7968,11,0.11,sudirman-airmancur
AK-20,-6.5886,106.7969,10,0.10,sudirman-sawojajar
AK-21,-6.6009,106.8052,8,0.08,kb-botani-1
AK-21,-6.6009,106.8052,8,0.08,kb-botani-1
AK-21,-6.6043,106.8068,8,0.08,*Term. Baranangsiang
AK-21,-6.6017,106.8111,8,0.08,tol-2
AK-21,-6.6043,106.8068,8,0.08,*Term. Baranangsiang
AK-21,-6.6066,106.8087,8,0.08,bangka-1
AK-21,-6.6078,106.8099,8,0.08,pajajaran-ciheuleut
AK-21,-6.6087,106.8105,8,0.08,pajajaran-michelle-bakery
AK-21,-6.6125,106.8130,8,0.08,pajajaran-pjjindah
AK-21,-6.6161,106.8145,10,0.10,pajajaran-durian
AK-21,-6.6175,106.8150,10,0.10,pajajaran-ggmesjid
AK-21,-6.6210,106.8163,10,0.10,*Sukasari
AK-21,-6.6210,106.8163,10,0.10,*Sukasari
AK-21,-6.6210,106.8163,10,0.10,*Sukasari
AK-21,-6.6218,106.8169,11,0.11,line-21-11
AK-21,-6.6241,106.8197,12,0.12,line-21-12
AK-21,-6.6283,106.8235,13,0.13,line-21-13
AK-21,-6.6331,106.8257,14,0.14,line-21-14
AK-21,-6.6353,106.8275,15,0.15,line-21-15
AK-21,-6.6405,106.8353,16,0.16,line-21-16
AK-21,-6.6470,106.8424,17,0.17,line-21-17
AK-21,-6.6489,106.8436,18,0.18,line-21-18
AK-21,-6.6506,106.8449,19,0.10,line-21-19
AK-21,-6.6550,106.8468,20,0.20,*Ciawi
AK-21,-6.6506,106.8449,19,0.10,line-21-19
AK-21,-6.6489,106.8436,18,0.18,line-21-18
AK-21,-6.6470,106.8424,17,0.17,line-21-17
AK-21,-6.6405,106.8353,16,0.16,line-21-16
AK-21,-6.6353,106.8275,15,0.15,line-21-15
AK-21,-6.6331,106.8257,14,0.14,line-21-14
AK-21,-6.6283,106.8235,13,0.13,line-21-13
AK-21,-6.6241,106.8197,12,0.12,line-21-12
AK-21,-6.6218,106.8169,11,0.11,line-21-11
AK-21,-6.6210,106.8163,10,0.10,*Sukasari
AK-21,-6.6210,106.8163,10,0.10,*Sukasari
AK-21,-6.6210,106.8163,10,0.10,*Sukasari
AK-21,-6.6175,106.8150,10,0.10,pajajaran-ggmesjid
AK-21,-6.6161,106.8145,10,0.10,pajajaran-durian
AK-21,-6.6125,106.8130,8,0.08,pajajaran-pjjindah
AK-21,-6.6087,106.8105,8,0.08,pajajaran-michelle-bakery
AK-21,-6.6078,106.8099,8,0.08,pajajaran-ciheuleut
AK-21,-6.6066,106.8087,8,0.08,bangka-1
AK-21,-6.6043,106.8068,8,0.08,*Term. Baranangsiang
AK-21,-6.6043,106.8068,8,0.08,*Term. Baranangsiang
AK-21,-6.6009,106.8052,8,0.08,kb-botani-1
AK-21,-6.6009,106.8052,8,0.08,kb-botani-1
AK-21,-6.6009,106.8052,8,0.08,kb-botani-1
AK-22,-6.5945,106.7946,10,0.10,#kb-gedong-sawah
AK-22,-6.5930,106.7973,10,0.10,kb-polisi-militer
AK-22,-6.5919,106.7971,11,0.11,sudirman-pengadilan
AK-22,-6.5909,106.7970,10,0.10,ggbaru-sudirman
AK-22,-6.5886,106.7969,10,0.10,sudirman-sawojajar
AK-22,-6.5817,106.7968,11,0.11,sudirman-airmancur
AK-22,-6.5813,106.7965,11,0.11,martadinata-airmancur
AK-22,-6.5820,106.7932,11,0.11,martadinata-bubulak
AK-22,-6.5771,106.7926,11,0.11,jl-bubulak-1
AK-22,-6.5736,106.7936,11,0.11,jl-bubulak-pondok-rumput
AK-22,-6.5685,106.7938,11,0.11,*Pondok Rumput
AK-22,-6.5736,106.7936,11,0.11,jl-bubulak-pondok-rumput
AK-22,-6.5771,106.7926,11,0.11,jl-bubulak-1
AK-22,-6.5820,106.7932,11,0.11,martadinata-bubulak
AK-22,-6.5813,106.7965,11,0.11,martadinata-airmancur
AK-22,-6.5817,106.7968,11,0.11,sudirman-airmancur
AK-22,-6.5886,106.7969,10,0.10,sudirman-sawojajar
AK-22,-6.5909,106.7970,10,0.10,ggbaru-sudirman
AK-22,-6.5919,106.7971,11,0.11,sudirman-pengadilan
AK-22,-6.5912,106.7938,11,0.11,pengadilan-gedongsawah
AK-22,-6.5927,106.7939,11,0.11,mekah-gedongsawah
AK-22,-6.5938,106.7936,11,0.11,gedongsawah-crossing
AK-22,-6.5941,106.7920,11,0.11,gedongsawah-dewisartika
AK-22,-6.5963,106.7915,11,0.11,muslihat-dewisartika
AK-22,-6.5969,106.7937,10,0.10,kb-muslihat
AK-22,-6.5945,106.7946,10,0.10,#kb-gedong-sawah
AK-23,-6.5699,106.8125,10,0.10,ciparigi-3
AK-23,-6.5704,106.8152,10,0.10,adnawijaya-1
AK-23,-6.5735,106.8176,10,0.10,adnawijaya-2
AK-23,-6.5770,106.8178,10,0.10,adnawijaya-3
AK-23,-6.5792,106.8184,10,0.10,adnawijaya-4
AK-23,-6.5819,106.8178,10,0.10,adnawijaya-5
AK-23,-6.5816,106.8132,10,0.10,sobana-palapuhraya
AK-23,-6.5811,106.8110,10,0.10,sobana-sungai
AK-23,-6.5808,106.8067,10,0.10,pajajaran-sobana
AK-23,-6.5886,106.8049,10,0.10,salak-pajajaran
AK-23,-6.5888,106.8059,10,0.10,#lodaya-N
AK-23,-6.5912,106.8057,1,0.01,lodaya-M
AK-23,-6.5921,106.8057,10,0.10,#lodaya-S
AK-23,-6.5922,106.8046,10,0.10,pangrango-pajajaran
AK-23,-6.5959,106.8044,7,0.07,kb-astrid
AK-23,-6.6009,106.8052,8,0.08,kb-botani-1
AK-23,-6.6009,106.8052,8,0.08,kb-botani-1
AK-23,-6.6016,106.8043,10,0.10,#bangka-otista
AK-23,-6.6027,106.7999,10,0.10,#otista-roda
AK-23,-6.6027,106.7999,10,0.10,#otista-roda
AK-23,-6.6031,106.7988,10,0.10,kb-suryakencana
AK-23,-6.6046,106.7965,10,0.10,*Ramayana
AK-23,-6.6046,106.7965,10,0.10,*Ramayana
AK-23,-6.6046,106.7965,10,0.10,*Ramayana
AK-23,-6.5969,106.7937,10,0.10,kb-muslihat
AK-23,-6.5945,106.7946,10,0.10,#kb-gedong-sawah
AK-23,-6.5930,106.7973,10,0.10,kb-polisi-militer
AK-23,-6.5926,106.8018,10,0.10,#kb-salak
AK-23,-6.5926,106.8018,10,0.10,#kb-salak
AK-23,-6.5926,106.8018,10,0.10,#kb-salak
AK-23,-6.5919,106.8021,10,0.10,#salak-1
AK-23,-6.5911,106.8020,10,0.10,#salak-2
AK-23,-6.5899,106.8016,10,0.10,#salak-3
AK-23,-6.5893,106.8018,10,0.10,*Taman Kencana
AK-23,-6.5880,106.8005,10,0.10,ciremai-1
AK-23,-6.5860,106.7998,10,0.10,ciremai-2
AK-23,-6.5832,106.8004,10,0.10,ciremai-3
AK-23,-6.5817,106.8010,10,0.10,ciremai-4
AK-23,-6.5817,106.8018,10,0.10,ciremai-5
AK-23,-6.5766,106.8024,10,0.10,ciremai-6
AK-23,-6.5752,106.8045,10,0.10,ciremai-7
AK-23,-6.5744,106.8047,10,0.10,ciremai-8
AK-23,-6.5728,106.8070,10,0.10,ciremai-9
AK-23,-6.5701,106.8085,10,0.10,ciremai-jambudua
AK-23,-6.5703,106.8075,10,0.10,jambudua-1
AK-23,-6.5695,106.8069,10,0.10,jambudua-2
AK-23,-6.5690,106.8070,10,0.10,jambudua-3
AK-23,-6.5685,106.8068,10,0.10,jambudua-yani
AK-23,-6.5684,106.8074,10,0.10,yani-sungai
AK-23,-6.5689,106.8091,10,0.10,*Jambu Dua
AK-23,-6.5699,106.8125,10,0.10,ciparigi-3
